,text,label
19291,"Здравствуйте уважаемые разработчики, хотел поставить 1, но просто за труд создания такой платформы 3, добавьте в комментариях к видео поставить лайк на комментарий как в Инстаграме или Ютуб, и ещё функцию ответить на комментарий, очень хочется общаться, обсуждать видео, но не понятно где находится твой где другой! В кратце улучшите комментарий!",негативная
14881,качество ифы,нейтральная
4986,Часто тормозит видео,негативная
9974,"Тормозит частенько,а так нормально ",негативная
16956,В этом приложении можно смотреть все что угодно и про артистов и многое другое.,позитивная
20453,Очень неудобен,негативная
13301,ЛЕГКОСТЬ  И ДОСТУПНОСТЬ ,позитивная
8655,не работают фиидс=линки с лева под,негативная
25432,Неужели сложно сделать чтобы не было вылета акаунта зайти не сложно но господи приложения сделанные любителями работают стабильней прекращаяте валять ваньку и начните уже приводить в порядок приложение (мне стыдно за вас а вам?),негативная
926,Всё хорошо,позитивная
10915,Избавиться от рекламы и подтормаживает,негативная
6617,"Очень мало иноязычного контента (немецкий, шведский). Хожу поэтому на ютуб.",негативная
2599,Быстро ,позитивная
20749,Очень плохая скорость.,негативная
2462,Простота,позитивная
28274,"Полное гав..но !долго грузит ,Рентв не показывает,тнт очень долг загружается !!!не рекомендую",негативная
28831,"Хотел посмотреть выпуск передачи с тнт, сначала еле загрузил выпуск (интернет был хороший), выпуск у меня вылетел, написано перезагрузите, перезагрузил, прошла реклама и черный экран, решил посмотреть выпуск по частям, отдельно выложенным, опять вылетело. Расстроил тот факт, что нормально ничего не посмотреть.",негативная
5436,Знания русского языка…Культуру общения.,мусор
1415,"регистрация понятная, пожалуй отлично, а не хорошо.
Поначалу долго думала, где написать комментарий, пока не поняла, что надо сначала зарегистрироваться. А регистрация прошла очень быстро и без проблем.",позитивная
1408,"без назойливых вопросов
",нейтральная
28798,"Хотела посмотреть стендап. Пожалуйста смотри- первый сезон и все. Постоянно «видео не доступно для вашего региона». И нельзя дизлак, только какие-то дебильные смайлы и комментарии. А то и без меня не знаю что как пал мир если обсуждение заседания на горшке и поход к практологу это уже край но нет ж) люди ходят на это и за это деньги платят",негативная
23249,"Если вы делаете обязательной рекламу, так хоть делайте ее работающей. Надоел уже черный экран, который не проходит и приходится по несколько раз перезагружать приложение. Пользуюсь этим приложением только ради одного канала, если бы не он то даже не скачивала бы.",негативная
28571,Установил и снес через 3 минуты это убогое приложение. Находится сейчас на уровне ютьюба времён 2014 года,негативная
9386,Ненативно,мусор
9994,Все,мусор
14444,все,мусор
4692,"Удобно, быстро ",позитивная
4754,Быстро и без заморочек ,позитивная
2928,экстрасенсы,мусор
12391,Всё,мусор
19035,"Сырое приложение, требуется совершенствование. Разработчик на запросы не реагирует. Отсутствует качество видео 144р, что неплохо экономит трафик. В ютубе есть а в рутубе нет и не предвидится. И так во всём.",негативная
17190,Четко все,позитивная
7142,"плохой поиск
",негативная
22244,Хорошо приложение.,позитивная
2222,Простота,позитивная
13544,впн пропал и узнал о рутюб и перешел ,негативная
1973,Быстро ,позитивная
13669,Прикольно прикольно,позитивная
17995,за IXBT-games,мусор
14123,:8,мусор
11901,Вроде отечественный ресурс. Но пилить ещё есть что и не мало!!!,негативная
27825,"Проблему с авторизацией и автопроизведением исправили - уже хорошо. 

Из неприятных моментов:
Смена позиционирования видео из вертикального в горизонтальное и наоборот - происходит рывками и не плавно.",нейтральная
2769,Быстрота,позитивная
24055,Здравствуйте разработчики приложения классное не знаю почему то всем не нравится а мне нравится только добавьте там чтобы можно было лайкать и смотреть просмотр и тогдалий поставлю 4 звезды но преложение класс?????,нейтральная
14302,люблю глента,мусор
19959,Нравится и точка!,позитивная
13043,Модерацию видео.,нейтральная
5928,хачю полное видео новостеи,негативная
0,Уже регестрировалась,нейтральная
13491,Все,мусор
5286,Убрать рекламу,негативная
16985,"Довольно таки не плохое приложение. Нравится то что сдесь собрано все что нужно для досуга и ТВ программы и радио, Довольно много категорий+++.",нейтральная
10999,рекомендации ,мусор
10075,ютуб оставьте ,мусор
1552,Надо делать проще,негативная
21864,Очень понравилось спасибо.,позитивная
16829,До ютуба далеко. А жаль. Всё работает. Но нечего смотреть,негативная
2114,Простота,позитивная
3423,"То что, регистрация завязана, на наше государство. А ещё Отвратительные первые 5 цыфр, топ 5 видео... и цыфры несуразные 1 2 3 4 5. Выделите эти видео в красивую рамку допустим.... Какие нахрен цыфры, дауном себя почувствовал.! ",негативная
5293,Не открывается 23 выпуск,негативная
12894,"Отвратительная платформа, ничего не грузится на канал, только раздачу инэта по сто раз оплачиваю, а он выкидывает на 15 процентах, даже в режиме инкогнито. Максимальный размер загружаемого файла 10 гигов - вы сереьезно? да у меня один лишь клип без полного автообзора,в 4к больше весит)))До ютюба еще как до луны уж извините...",негативная
15905,поиск видео в плейлисте,нейтральная
28375,"Жду,когда добавят возможность в полноэкранном режиме менять масштаб экрана",нейтральная
18068,"Очень интересное приложение,в котором можно найти различные интересные видео.",позитивная
21853,"Здравствуйте, приложение классное очень😇🔥😁Хотелось бы, чтобы творческую студию сделали, чтобы было удобнее работать на телефоне, просто через компьютер в рутубе есть творческая студия, а на телефоне нет творческой студии в рутубе😁 Большое спасибо, будем ждать творческую студию😁",нейтральная
10193,Идет постоянная отписка от каналов. Я задолбался регестрироваться,негативная
8724,не могу найти адский шеф полные ролики 2023 года,негативная
18570,А можно увеличить шрифт в комментариях к видео?,нейтральная
1154,Хорошее шоу,позитивная
252,"Улучшение воспроизведения ваших роликов. Полчаса загрузится не может, отстой полный, а не рутьюб",негативная
19622,"Нравится! Смотрю иногда (через мобильное приложение) на телевизоре, потому что не хватает времени. Всё что хотелось бы узреть, я нахожу. Прошу прощения за короткий отзыв, Вы мне просто подходите по всем возможностям!)",позитивная
8890,всё очень хорошо работает,позитивная
22675,"Почему нет башкирского, разве это не российское приложение",нейтральная
6404,"Видно лучше  было даты  чего смотреть ,а не  вставлять ,чего не хочешь ",негативная
385,надо упростить,негативная
14943,все,мусор
15153,Приложение руки оторвать по узабилити,негативная
28270,"Сделайте пожалуйста возможность отвечать на комментарии. А то как в прошлом веке, комментарии есть, но кто кому ответил и на что - совершенно непонятно.",негативная
5484,"Запрос ""вернувшиеся 5 сезон"", показано только одно видео подходящее под поиск, все остальные смесь разных сезонов и совсем не соответствующие поиску видео, даже слов одинаковых в названии нет",негативная
12093,Показывает в Казахстане.  Следующая серия начинается сразу. Рекламы не очень много и она без громкого звука👍👍👍,позитивная
22998,Выдио не пропускает и сильно лагает,негативная
13943,примитивные мелодии,нейтральная
2829,быстро,позитивная
8452,Хороший и удобный поиск,позитивная
27562,"К сожалению мне сложно выполнять какие-либо действия на планшете. В силу возраста очень далёк от современной электроники. Как говорится, тычу пальцем наугад. Еле получилось зарегистрироваться, а куда-то что-то отправить не получится",негативная
13187,СВОЙ :),позитивная
10593,долбоебы?,негативная
23492,"Жутко лагает. Видео зависает раз в 3 минуты. VPN нет, соединение стабильно. Несколько провайдеров - картина одна. И наземные, и опросы. Upd видео того как видео тормозит? Оно и в браузере на ПК так же. Или периодически сваливается в какое-нибудь 480p, потом восстанавливается в нормальном качестве, или зависает. И если смотреть как видео тянется - скорость идёт 2Mbps, 300Kbps, 1Mbps, 250Kbps. Хватит отмазываться про переустановку. CDN нормальную сделайте.",негативная
25982,"Пилите, Шура, пилите! Нам нужен свой сервис.",негативная
25284,"Хочу удалить некоторые видео свои, но нету нигде пункта удалить, только поделиться и пожаловаться и смотреть позже. Все!!!",негативная
1243,все хорошо,позитивная
22821,часто вылетает,негативная
28288,"Чудесное приложение, много различных функций, которые очень радуют. Но много багов: включаешь видео — «проблемы/перезагрузите видео» при хорошем интернете, притом постоянно. Иногда нажимаешь на паузу, а видео не останавливается, приложение подлагивает в принципе. Очень надеюсь, что вы исправите это, потому что потенциал у приложения большой.",нейтральная
3027,facile,мусор
26662,"Хорошее приложение, любое видео на выбор от фильмов до телешоу, на фоне поставить и скоротать вечерок",позитивная
24072,Тв 3 показывает что идут мультики,нейтральная
11840,хорошее качество,позитивная
11361,дизайн,мусор
321,Сложно найти регистрацию ,негативная
26871,Больше не тупит,позитивная
10196,Качество транслируемых передач... ,нейтральная
19896,"С последним обновлением, вызов поиска, вызывает ошибку. Приложение уходит в заморозку и отключение.",негативная
9306,ixbt games тому пример,мусор
24778,В приложении красиво всё и функция картинка в картинке и возможность слушать с выключенным экраном - класс. Ещё бы комментарии сделать более удобными и функциональными. И было бы вообще замечательно.,нейтральная
1139,"я просто регестрироваться не люблю, да и плюс думала почему код не отправляется, а оказывается надо нажать чтобы отправили 💔",негативная
5320,"Убрать рекламу
",негативная
20512,"Неплохо, НО алгоритмов нету, мало скачиваний, хотя они растут, сделайте нормальные алгоритмы!!",негативная
609,👍,негативная
8422,"Нару тюбик сегодня ищу в первый раз. Но я люблю песню о лошади с тех пор, как услышал ее в исполнении Московского казачьего хора",мусор
3079,все понравилось,позитивная
10005,Не грузится видео ,негативная
25149,Плюс минус норм но ! Смотрю на android tv box нужен голосовой поиск!,негативная
6577,Все,мусор
2286,быстрота,позитивная
13120,"круто
",позитивная
17360,"После ребрендинга лучше не стало, приложение для смарт-тв тормозит, постоянно перерывы с крутящимся кружком загрузки, при этом тест скорости инета 20+ мб/с, другие онлайн-сервисы работают нормально, это же г.. просто невозможное издевательство, и перемотка медленная - часовой хронометраж минуту двигаешь пультом(",негативная
17891,"Оставить комментарий без ошибки очень сложно, а если опубликован с ошибкой, не исправить. Доработайте пожалуйста",негативная
4340,Все быстро,позитивная
19690,"Видео жутко виснут. Я за время загрузки ещë раз посмотрела бы часовое видео! Тоесть 5 секунд видео работает, а от 1-5 мин висит.Бесит. + У меня очень даже хороший интернет. Радует что есть много передач и фоновый режим.",негативная
7967,просто,позитивная
13568,🤔☝️🥸👿🥸😏🥸🥵🦁😡🦁🥵👻🤔🤔💯🌞💯😣🤔👿,мусор
8483,"Nice
",мусор
21115,Отлично!,позитивная
10741,ВСЁ ВИСИТ,негативная
29019,"Это не приложение для просмотра, а приложение по поеданию моих нервов. Почему так виснет? В чем причина вечной загрузки через каждые 5 минут? Одну серию любого шоу посмотрю нормально, вторую начинает мне голову… то вообще ошибку загрузки показывает. Ну есть мои любимые шоу у вас, не хочу удалять, но если будет так то точно удалю",негативная
15859,"UX проработайте, мало показателей, пользоваться не удобно",мусор
28952,"Работает медленнее ютуба. Все прогрузки дольше идут, в остальном-неплохой аналог. Но переходить на него я пока что не готов, дорабатывайте!",негативная
4301,Просто и быстро ,позитивная
24138,"Последнее обновление порадовало, интерфейс стал приятнее и по шустрее и плавнее стала анимация. Но так и не понял как трансляцию включить с приложения на ТВ, или же она работает по другому протоколу в отличие от Youtube? В Youtube включаешь видео и там сразу значок есть трансляции на большой экран. У меня смарт ТВ с Web OS если что и на нем тоже Rutube установлен.",позитивная
13480,Работа Виктории и Шепса ,мусор
4701,spasibo,мусор
4970,Быстро,позитивная
15101,"Не соответствует вкусам
",негативная
1944,быстрота,позитивная
20361,"Все бы ничего, но бесит то, что не могу посмотреть некоторые видео, пишут, что даннове видео недоступно в вашем регионе, отключите VPN и попробуйте снова... Т.я. я, гражданин РФ, не могу посмотреть то, что показывали на российском канале, а другие регионы могут? Что за бред? Я бы понял, если блокировали бы иностранные каналы/видео... Но чтобы русский человек, в русском приложении не может посмотреть русскую передачу, выходящую на русском канале... Где ваш патриотизм разрабы?",негативная
3209,"скорость
",мусор
10965,онлайн каналы,нейтральная
9539,Плохое подключение нового устройства,негативная
12615,Всë хорошо тока я бы продолжил октивнее снимать бравл старс,нейтральная
5511,Поис других каналов тв,нейтральная
25249,"вроде всё норм, но! Не производит видео, если прога свёрнута, нет возможности слушать видео и открыть браузер одновременно и т.д. Надо стремиться к таким функциям, которые есть во враждебном приложении Отлично!!! Всё встаёт на свои места!!! Хотелось бы добавить функции регулировки звука и яркости, как у врагов и подписки списком, как там же. Спасибо! Молодцы!!!",негативная
25479,"Не работает. Пишет не сети, хотя все есть. Телефон bv9500",негативная
